Territory,Island,Loss,X0income,X1.5k,X5.10k,X10.15k,X15.20k,X20.25k,X25.30k,X30.35k,X35.40k,X40.50k,X50.60k,X60.70k,X70.100k,X100.150k,more,NA.
Auckland Central,n,0.005758992,0.024502879,0.01977616,0.017385635,0.017765946,0.024122569,0.023959578,0.028794958,0.028305987,0.026458763,0.050472672,0.050201021,0.047864827,0.123492339,0.125448223,0.191404977,0.194284472
Bay of Plenty,n,0.003006106,0.002677313,0.005025834,0.006434946,0.012869892,0.024706435,0.026350399,0.042696101,0.052747769,0.033912635,0.068905589,0.072287459,0.070690465,0.184875528,0.152606858,0.085392203,0.154814467
Botany,n,0.004089883,0.005829259,0.008320797,0.007333584,0.009966153,0.012786762,0.014244077,0.023505077,0.026654757,0.020825498,0.042967281,0.046069951,0.049266642,0.158894321,0.208066942,0.189779992,0.171399022
Coromandel,n,0.004267292,0.002813599,0.007784291,0.010128957,0.022274326,0.036717468,0.03873388,0.061430246,0.067620164,0.039624853,0.083751465,0.077702227,0.066354045,0.15943728,0.100023447,0.065134818,0.156201641
East Coast,n,0.002940986,0.003619676,0.008596729,0.010697434,0.02223515,0.033029539,0.033126495,0.043339151,0.045763041,0.035970525,0.066834723,0.071036132,0.060112468,0.153997802,0.113405727,0.060144787,0.235149635
East Coast Bays,n,0.003639672,0.005863917,0.006318876,0.00601557,0.007987059,0.015266404,0.018350015,0.02310181,0.027398645,0.019866545,0.045344252,0.048124558,0.044029926,0.152057426,0.206804165,0.225305834,0.144525326
Epsom,n,0.003853369,0.007808143,0.008365867,0.006996907,0.007909547,0.013689601,0.015971201,0.018252801,0.019925975,0.017289459,0.037519647,0.038837905,0.035592963,0.108908381,0.140394463,0.371190995,0.147492775
Hamilton East,n,0.002260771,0.004478066,0.010260423,0.009738707,0.015781923,0.025911917,0.027172732,0.033868093,0.035824529,0.029520456,0.056388853,0.053693318,0.055997565,0.165644972,0.16842746,0.123472892,0.181557324
Hamilton West,n,0.002543432,0.004009139,0.007328534,0.008751132,0.013622451,0.023666853,0.024873906,0.034788981,0.037030651,0.03000388,0.060740613,0.067336293,0.067206966,0.185368798,0.162219252,0.094451869,0.176057249
Helensville,n,0.003293641,0.003192298,0.003952369,0.005269825,0.007398024,0.014187991,0.014644033,0.0221434,0.025538384,0.020471244,0.041955916,0.045604256,0.046769699,0.161692425,0.208816823,0.214441348,0.160628325
Hunua,n,0.003705267,0.003564561,0.005722058,0.004690212,0.008489283,0.015899817,0.019464378,0.028797899,0.030251864,0.022043994,0.044744618,0.050232165,0.050185263,0.160686647,0.200553445,0.190281882,0.160686647
Hutt South,n,0.001723605,0.002740089,0.004773059,0.005612764,0.011667477,0.01966677,0.021081009,0.026516993,0.029654837,0.022495249,0.049454192,0.055243735,0.053475936,0.16913422,0.195209263,0.180050382,0.15150042
Kelston,n,0.004018754,0.004688547,0.007511243,0.008468089,0.011290786,0.022438044,0.023012152,0.031528083,0.030858291,0.029088126,0.056693139,0.057075878,0.061860109,0.167687303,0.15936274,0.093675246,0.23074347
Mana,n,0.00212832,0.00323682,0.0064293,0.00696138,0.01188312,0.02026338,0.02212566,0.026293619,0.027712499,0.025007759,0.049838159,0.050059859,0.053651399,0.163082517,0.175453376,0.157806057,0.198066776
Mangere,n,0.003905891,0.004227553,0.014612628,0.013188126,0.012590755,0.017369727,0.01691021,0.022792023,0.025043654,0.020402537,0.043929786,0.044343351,0.045629997,0.131743406,0.129032258,0.092592593,0.361685507
Manukau East,n,0.006986777,0.006002063,0.01509894,0.013692207,0.013739098,0.024524055,0.018990903,0.029635187,0.028791147,0.027900216,0.052752509,0.052564944,0.051251993,0.137437869,0.12449592,0.072446779,0.323689393
Manurewa,n,0.005873287,0.006039905,0.012163119,0.01253801,0.012579664,0.021368767,0.019119424,0.025992419,0.029824634,0.027117091,0.049402258,0.050277003,0.047569459,0.142500104,0.131503312,0.086932978,0.319198567
Maungakiekie,n,0.00409412,0.002969362,0.010032843,0.011517524,0.014396905,0.022810096,0.018805957,0.026724254,0.026994196,0.024384757,0.048004679,0.051333963,0.054888199,0.147973186,0.164439645,0.154316822,0.216313493
Mt Albert,n,0.002175489,0.004931109,0.00642978,0.006961566,0.010732415,0.017984046,0.01687213,0.023398598,0.020304569,0.01928934,0.036789944,0.041817742,0.041817742,0.128788978,0.170413343,0.2872613,0.164031907
Mt Roskill,n,0.004026714,0.005549008,0.009182872,0.009723041,0.014682774,0.02578079,0.019937144,0.030347672,0.026517384,0.02249067,0.047927716,0.05141426,0.047927716,0.141180515,0.168532705,0.18213514,0.192643881
Napier,n,0.002975019,0.003456272,0.007262545,0.009100057,0.019118869,0.0320252,0.034125213,0.043837774,0.051319071,0.034212714,0.0719692,0.07516297,0.070700442,0.174519841,0.128319552,0.066587916,0.175307346
New Lynn,n,0.002573366,0.005740585,0.008214975,0.00900678,0.01192656,0.022665413,0.02385312,0.032612461,0.033453754,0.026376998,0.052655021,0.05423863,0.052605533,0.160340476,0.185628743,0.12896521,0.189142376
New Plymouth,n,0.002302275,0.003159986,0.005191405,0.007222824,0.016657638,0.027898158,0.029839292,0.038958108,0.041666667,0.030245576,0.06369628,0.0657277,0.064508848,0.171812929,0.15343987,0.113127483,0.164544962
North Shore,n,0.00241626,0.005543185,0.005969584,0.006775004,0.00885962,0.016676932,0.019803857,0.024257355,0.024636377,0.020514521,0.043540058,0.044250723,0.044819254,0.138200597,0.183398872,0.280428294,0.129909509
Northcote,n,0.002733142,0.003298619,0.00617313,0.0063145,0.009895858,0.01729419,0.020168701,0.026294708,0.027567033,0.022807596,0.050468875,0.051081476,0.054568588,0.161867961,0.197445926,0.180481598,0.161538099
Ohariu,n,0.000704864,0.002265633,0.003222233,0.003524318,0.005538214,0.010723996,0.01218407,0.015255261,0.016362904,0.016614641,0.036854295,0.041939382,0.044859531,0.160406807,0.225959118,0.287987111,0.115597624
Otaki,n,0.00252562,0.003739861,0.005731216,0.007868279,0.020107825,0.036330079,0.04521832,0.057603575,0.068628879,0.03875856,0.074457234,0.070668804,0.062946233,0.154208558,0.115304289,0.078099956,0.15780271
Pakuranga,n,0.003947753,0.005507359,0.006530851,0.006774539,0.009065211,0.016668291,0.020518569,0.025246125,0.029193879,0.025733502,0.050540988,0.052929135,0.051661955,0.166926601,0.197192709,0.189150989,0.142411541
Papakura,n,0.003276241,0.004147141,0.007879567,0.008626052,0.011694936,0.019284204,0.020777174,0.029486169,0.028573798,0.02330693,0.045079418,0.050553643,0.054451955,0.158006055,0.176087588,0.139675694,0.219093435
